Source,Count,Canonical,Kind,Note
CLOSED FILE - RETURNED TO CLIENT,81,PER CLIENT,MAP,-> existing
CLOSED PAID AFTER DECISION,72,PAID (DECISION),MAP,-> existing
CLOSE FILE - SENT FILE BACK TO CLIENT,69,PER CLIENT,MAP,-> existing
CLOSE FILE - SOL,66,SOL,MAP,-> existing
CLOSE FILE - PAID AFTER JUDGMENT,58,PAID (JUDGMENT),MAP,-> existing
WC - DECISION RECD - LOSS,49,WORKERS COMPENSATION,MAP,-> existing
"AAA - HEARING HELD, WAITING FOR AWARD",46,,DROP,dropped: workflow stage / no disposition
CLOSE FILE - POLICY CANCELLED,45,POLICY CANCELLED,MAP,-> existing
CLOSED,44,,DROP,dropped: workflow stage / no disposition
1st response to VR - Sent,42,,DROP,dropped: workflow stage / no disposition
CLOSE - NO NY JURISDICTION,41,OUT OF STATE CARRIER,MAP,-> existing
CLOSE FILE - NOT COST EFFECTIVE,38,PER CLIENT,MAP,-> existing
DISCONTINUED - ENTIRE INDEX#,37,DISCONTINUED WITH PREJUDICE,MAP,-> existing
DISCONTINUED - ENTIRE INDEX - WITH PREJUDICE,34,DISCONTINUED WITH PREJUDICE,MAP,-> existing
AAA - 412 RECEIVED,32,,DROP,dropped: workflow stage / no disposition
CLOSE FILE - PER JOAQUIN,32,PER CLIENT,MAP,-> existing
CLOSED PER CLIENT,31,PER CLIENT,MAP,-> existing
LIEN CASE DROPPED,30,OTHER,MAP,NEW close reason
2nd response to VR - Sent,29,,DROP,dropped: workflow stage / no disposition
AAA - ADMINISTRATIVELY CLOSED BY AAA,28,,DROP,dropped: workflow stage / no disposition
CLOSED PAID IN FULL,27,PAID (VOLUNTARY),MAP,-> existing
PRE-LIT SETTLEMENT NEGOTIATED,26,PAID (SETTLEMENT),MAP,-> existing
DISCONTINUED - ENTIRE INDEX - WITHOUT PREJUDICE,25,DISCONTINUED WITHOUT PREJUDICE,MAP,NEW close reason
AAA REJECTED,24,,DROP,dropped: workflow stage / no disposition
AAA-ARB FILED,23,,DROP,dropped: workflow stage / no disposition
AAA-CONSENT AWARD,21,PAID (SETTLEMENT),MAP,-> existing
CLOSE FILE - 30 DAY-NF2 RULE,19,OTHER,MAP,NEW close reason
AAA - WITHDRAWN W/ PREJUDICE NO COVERAGE,17,AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,MAP,-> existing
CLOSE FILE - LOSING AAA AWARD,17,AAA- DECISION- DISMISSED WITH PREJUDICE,MAP,-> existing
CLOSE FILE - NO COVERAGE - SENT TO CLIENT,17,POLICY EXHAUSTED/NO COVERAGE,MAP,-> existing
AAA - WITHDRAWN W/PREJUDICE PAID PER FS,14,AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,MAP,-> existing
AAA - WITHDRAWN W/PREJUDICE PRIOR DJ ORDER,14,AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,MAP,-> existing
INDEX PURCHASED - AOS FILED,11,,DROP,dropped: workflow stage / no disposition
CLOSE FILE - DEDUCTABLE APPLIED,10,POLICY EXHAUSTED/NO COVERAGE,MAP,-> existing
CLOSE FILE - TRANSFERRED TO LIEN,10,OTHER,MAP,NEW close reason
CLUSTER HOLD - INSURER UNDER MERGE SUMMONS NO FLAG,10,,DROP,dropped: workflow stage / no disposition
Lien Letter Mailed,10,,DROP,dropped: workflow stage / no disposition
NEW-BILLS,10,,DROP,dropped: workflow stage / no disposition
AAA - HEARING DATE RECD,9,,DROP,dropped: workflow stage / no disposition
AAA - HEARING WITHDRAWN,9,,DROP,dropped: workflow stage / no disposition
AAA - ARBITRATION AWARD RECEIVED - PARTIAL WIN,8,PAID (DECISION),MAP,-> existing
AAA - WITHDRAWN W/PREJUDICE POLICY EXHAUSTED,8,AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,MAP,-> existing
CLOSE FILE - DISCONTINUE PER DJ,8,DISCONTINUED WITH PREJUDICE,MAP,-> existing
CLOSE FILE - REJECTED NEW LITIGATION-BACK TO CLIENT,8,PER CLIENT,MAP,-> existing
DISMISSED WITHOUT PREJUDICE BY COURT 3215/3216,8,OTHER,MAP,NEW close reason
STATUS - TRIAL,7,,DROP,dropped: workflow stage / no disposition
AAA-DISMISSED WITH PREJUDICE,6,AAA- DECISION- DISMISSED WITH PREJUDICE,MAP,-> existing
CLOSE FILE - SUB FILE FOR CURRENT SUFFOLK CASE,6,PER CLIENT,MAP,-> existing
MVAIC LETTER SENT TO ATTY,6,,DROP,dropped: workflow stage / no disposition
NEW CASE ENTERED,6,,DROP,dropped: workflow stage / no disposition
STATUS - JUDGMENT DEFAULT,6,,DROP,dropped: workflow stage / no disposition
WC-CLOSED BY WCB,6,WORKERS COMPENSATION,MAP,-> existing
AAA CASE SETTLED,5,PAID (SETTLEMENT),MAP,-> existing
CLOSE FILE - COMPANION FILES LOST IN AAA,4,PER CLIENT,MAP,-> existing
CLUSTER REJECT - UNDER 100,4,,DROP,dropped: workflow stage / no disposition
MVAIC - NOT QUALIFIED,4,POLICY EXHAUSTED/NO COVERAGE,MAP,MVAIC -> Policy Exhausted/No Coverage (rename to add /MVAIC post-import)
NEW INTAKE - NEEDS TO BE REVIEWED,4,,DROP,dropped: workflow stage / no disposition
1st response to VR - Printed,3,,DROP,dropped: workflow stage / no disposition
AAA - MASTER ARBITRATION AWARD - AFFIRMED - LOSS,3,AAA- DECISION- DISMISSED WITH PREJUDICE,MAP,-> existing
CLOSE FILE - TRANSFERRED TO WORKERS COMP,3,WORKERS COMPENSATION,MAP,-> existing
COLLECTION - NEW CASE ENTERED,3,,DROP,dropped: workflow stage / no disposition
Dismissed 3216,3,OTHER,MAP,NEW close reason
SETTLEMENT STIP MERGED,3,,DROP,dropped: workflow stage / no disposition
AAA - ARBITRATION AWARD RECEIVED - WIN,2,PAID (DECISION),MAP,-> existing
AAA - HEARING WITHDRAWN WPREJUDICE,2,,DROP,dropped: workflow stage / no disposition
AAA - WITHDRAWN W/ PREJUDICE - PAID PER PPO,2,AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,MAP,-> existing
AAA - WITHDRAWN W/PREJUDICE DEDUCTIBLE APPLIED,2,AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,MAP,-> existing
CLUSTER REJECT - CLAIM NO. AND POLICY NO. MISSING,2,,DROP,dropped: workflow stage / no disposition
INDEX PURCHASED,2,,DROP,dropped: workflow stage / no disposition
LIEN CASE LOST,2,OTHER,MAP,NEW close reason
MAIN CASE PAID AFTER SETTLEMENT,2,PAID (SETTLEMENT),MAP,-> existing
STATUS - JUDGMENT DEFAULT ENTERED BY COURT AND SENT FOR EXECUTION,2,,DROP,dropped: workflow stage / no disposition
WC - C-8.1 - C-7 RECD,2,WORKERS COMPENSATION,MAP,-> existing
WC - DECISION RECD - WIN,2,WORKERS COMPENSATION,MAP,-> existing
AAA - WITHDRAWN WITHOUT PREJUDICE - WC,1,OTHER,MAP,NEW close reason
AAA DUPLICATE FILED,1,,DROP,dropped: workflow stage / no disposition
AAA-PARTIALLY PAID,1,PAID (VOLUNTARY),MAP,-> existing
BILLING POM GENERATED,1,,DROP,dropped: workflow stage / no disposition
CLOSE FILE - PER JOAQ FOR LACK OF COVERAGE,1,POLICY EXHAUSTED/NO COVERAGE,MAP,-> existing
CLUSTER - HOLD,1,,DROP,dropped: workflow stage / no disposition
CLUSTER REJECT - UNDER 300,1,,DROP,dropped: workflow stage / no disposition
DECISION - AAA MASTER ARBITRATION - LOSS,1,AAA- DECISION- DISMISSED WITH PREJUDICE,MAP,-> existing
LIEN - CLOSE FILE - PAID AFTER SETTLEMENT,1,OTHER,MAP,NEW close reason
LIEN - CLOSE FILE - PAID PER SETTLEMENT,1,OTHER,MAP,NEW close reason
LIEN - NO VIABLE LIEN,1,OTHER,MAP,NEW close reason
OUR NOE SENT,1,,DROP,dropped: workflow stage / no disposition
WC - CLOSE - CONTROVERTED CLOSED BY WCB,1,WORKERS COMPENSATION,MAP,-> existing
WC - CLOSE - NOT AN ESTABLISHED SITE,1,WORKERS COMPENSATION,MAP,-> existing
