displayName,aliases,active,notes
OTHER,AAA - DISMISSED WITHOUT PREJUDICE - REVIEWED AND CLOSED;AAA-WITHDRAWN WITHOUT PREJUDICE;DISMISSED WITH PREJUDICE BY COURT;DISMISSED WITHOUT PREJUDICE BY COURT;AAA-DISMISSED WITHOUT PREJUDICE;LIEN CASE DROPPED;CLOSE FILE - 30 DAY-NF2 RULE;CLOSE FILE - TRANSFERRED TO LIEN;DISMISSED WITHOUT PREJUDICE BY COURT 3215/3216;Dismissed 3216;LIEN CASE LOST;AAA - WITHDRAWN WITHOUT PREJUDICE - WC;LIEN - CLOSE FILE - PAID AFTER SETTLEMENT;LIEN - CLOSE FILE - PAID PER SETTLEMENT;LIEN - NO VIABLE LIEN,TRUE,"NEW close reason; 16 src variants, 1,466 rows, 15 aliases"
AAA- VOLUNTARILY WITHDRAWN WITH PREJUDICE,AAA-WITHDRAWN WITH PREJUDICE;AAA - WITHDRAWN W/ PREJUDICE NO COVERAGE;AAA - WITHDRAWN W/PREJUDICE PAID PER FS;AAA - WITHDRAWN W/PREJUDICE PRIOR DJ ORDER;AAA - WITHDRAWN W/PREJUDICE POLICY EXHAUSTED;AAA - WITHDRAWN W/ PREJUDICE - PAID PER PPO;AAA - WITHDRAWN W/PREJUDICE DEDUCTIBLE APPLIED,TRUE,"existing; 7 src variants, 1,253 rows, 7 aliases"
PAID (JUDGMENT),CLOSE FILE - PAID AFTER JUDGMENT VIA MARSHAL;CLOSE FILE - PAID AFTER JUDGMENT,TRUE,"existing; 2 src variants, 1,001 rows, 2 aliases"
DUPLICATE,CLOSE FILE - DUPLICATE,TRUE,"NEW close reason; 1 src variants, 617 rows, 1 aliases"
MOTION LOSS,DECISION - MOTION - LOSS;DECISION - LOSS,TRUE,"existing; 2 src variants, 518 rows, 2 aliases"
OUT OF STATE CARRIER,CLOSE FILE - OUT OF STATE CARRIER;CLOSE - NO NY JURISDICTION,TRUE,"existing; 2 src variants, 476 rows, 2 aliases"
DISCONTINUED WITHOUT PREJUDICE,DISCONTINUED - ENTIRE INDEX - WITHOUT PREJUDICE,TRUE,"NEW close reason; 2 src variants, 414 rows, 1 aliases"
WORKERS COMPENSATION,CLOSE FILE - WORKERS COMP;WC - DECISION RECD - LOSS;WC-CLOSED BY WCB;CLOSE FILE - TRANSFERRED TO WORKERS COMP;WC - C-8.1 - C-7 RECD;WC - DECISION RECD - WIN;WC - CLOSE - CONTROVERTED CLOSED BY WCB;WC - CLOSE - NOT AN ESTABLISHED SITE,TRUE,"existing; 8 src variants, 342 rows, 8 aliases"
CARRIER IN LIQUIDATION,,TRUE,"NEW close reason; 1 src variants, 126 rows, 0 aliases"
SOL,CLOSE FILE - SOL,TRUE,"existing; 1 src variants, 66 rows, 1 aliases"
POLICY CANCELLED,CLOSE FILE - POLICY CANCELLED,TRUE,"existing; 1 src variants, 45 rows, 1 aliases"
